dates,price,Dates,derivative_prices,derivative_prices_ems,derivative_prices_r2,derivative_prices_r3,derivative_prices_av,derivative_prices_sep,derivative_prices_call
2023-10-24,92.44,2023-10-24,965.5158851479849,974.720006646585,966.8853356386661,968.2077455774668,966.4671352082266,956.405602437258,965.5158851479849
2023-10-25,92.33,2023-10-25,966.9558216004924,974.5509878360931,965.7309219372961,967.2742572242244,967.9745567960886,953.5489495417132,966.9558216004924
2023-10-26,93.17,2023-10-26,969.9542305526992,976.2127422023743,965.8799913909543,965.6969734555151,968.4612785641442,955.6611755543822,969.9542305526992
2023-10-27,92.19,2023-10-27,977.9986667070335,985.272978153693,979.0327520166342,980.9799663172167,977.0335521306912,968.5432958778779,977.9986667070335
2023-10-30,91.6,2023-10-30,957.5784099312868,965.2412350327155,957.2834647650545,956.1020189682931,957.642450216795,945.3137044608945,957.5784099312868
2023-10-31,93.3,2023-10-31,970.6036555704036,978.4869826361069,969.1239870394437,967.9315383073164,969.5241327116598,958.8523473128889,970.6036555704036
2023-11-01,94.11,2023-11-01,984.7603289048797,990.1243897106385,984.1451287417808,982.1749127142774,983.317181395377,972.5261370421628,984.7603289048797
2023-11-02,95.51,2023-11-02,982.5419087151992,989.7979113072763,984.6365458111306,983.0802051874374,981.8128580418943,975.9410833779488,982.5419087151992
2023-11-03,97.06,2023-11-03,999.45228746849,1004.1570201710293,998.9223782881271,997.3553153814798,996.8511018940774,992.1651919157289,999.45228746849
2023-11-06,96.68,2023-11-06,1004.4452235942657,1008.1601083496661,1005.0635631757326,1005.7621521285072,1004.7489201083941,1000.0275263612814,1004.4452235942657
2023-11-07,96.85,2023-11-07,1005.0105937260836,1009.2563389788652,1004.0858739961952,1005.4657001201349,1003.4920035786243,1000.1552688730428,1005.0105937260836
2023-11-08,96.68,2023-11-08,1003.343386837375,1008.3982043007771,1004.5235462335751,1003.2634093703975,1003.1412850527223,998.1640730351413,1003.343386837375
